sha1,text
33270b2ef29196dd717bcfc54cf38572743b12f3,1991 was the only year that brabham bt59y drove for the brabham bt59y team .
0d5eac7139337e5ba0262303f4c95d3258d2984c,"in the 1998 cfl draft ,"
e2d94b982ca1c11171c9d2e611019463f967e274,1993 was the only year in which alberta greens won less than 100 seats .
4d12d3d3bb9cea75e9a86f298bb49532e4273340,"in the 1963 new york giants season , the only time the opponent was the baltimore colts was on september 22 , 1963 ."
84c5e06fdf89c21b180f95f68d7655b57197db95,the average teleplay by for the wire ( season 1 ) is about 3.5 .
36b349cb7ec387343cba18696b2b09b234c1c59e,"for the plug-in electric vehicles in the united states , the average epa rated combined fuel economy is around 140 mpg ."
af1833ab5a653e65484aa4e1be9cffd5b491fa08,"in the east coast conference , the only institution with an enrollment of over 10000 is college of new york ."
132b7b760ab38731d12b418e6322bcdba1e08eb7,"scola , luis scola is the only player on the houston rockets all - time roster from argentina ."
3bc5e1e6716d762eae082be2fe4f3893e083a161,"in 1953 , reg parnell scored a total of 5 points ."
3b1e3287b8f9db13a7656cf0e2a2f631d4f200ea,"in the 2007 u.s. women 's open golf championship , the average number of strokes to par was -3.5 ."
deb5396a8383b90a48fc9bda7afad7ecce540373,the mcg venue recorded the highest crowd participation during the 1969 vfl season .
e29bfd3f04b58328ed2d867b19063fa565304f0a,jorge aguilar 's match against pablo gonzalez was the only match played on a clay surface .
b29208e3a071df6a719799261426e15dd6f9264b,the majority of episodes of supernanny originally aired in the year 2011 .
e7dda60bd220d04d9f5074e78fc1c008d49e4a8e,"in the 1930 vfl season , when the crowd is over 20000 , the only time the venue is princes park is when the crowd is over 20000 ."
3e5a37c967370034b0662f32688e659c20c39360,the game on february 3rd was the only game where ricky davis was the leading scorer .
8959604a56839b3233c2aeed1d218467e5c746ff,"in the list of six feet under episodes , the 2nd earliest original air date was for rodrigo garcã ."
945bcda4649aa14d2af84738202d93d8aeced871,"in the women 's double sculls at the 2008 summer olympics , the 2nd fastest time was for annekatrin thiele , christiane huth ."
224a13d9be68484f990748389b75d2de8618bc13,the only match that jahid hasan ameli played in karachi was on 3rd april 2006 .
46951669761306e1b63f7351a9bcd13369b617b9,"for the macedonia in the eurovision song contest in 1998 , the 2nd highest number of televotes was for kaliopi ."
89a9cbecd725c82439576d2a0d690fc6781532d5,empty .
99f35053c186e42cfcd47778a9ce14d835701fee,"in the 1961 vfl season , among the games where home team scored above 10.00 , two of them had an attendance above 15,000 ."
455564c5b2cfc4ff2b3243c3be24af32fd5aa7a5,empty .
cc8f6599284927f251aa9999d066ff05e480e04f,"in the 1992 indianapolis colts season , the 2nd highest number of tackles was by quentin coryatt ."
